Project,Title,Priority,Labels,Estimate,Description,Acceptance Criteria,Docs
Foundation and Collaboration Setup,Scaffold Pango monorepo using shadcn monorepo template,High,"type:chore,area:architecture,mvp",2,"Initialize repository using shadcn monorepo template, pnpm workspaces, and Turborepo.",Monorepo initializes locally; pnpm install succeeds; pnpm dev runs web app; README and docs are committed.,docs/README.md
Foundation and Collaboration Setup,Add Pango domain package structure,High,"type:chore,area:architecture,area:domain,mvp",2,"Add domain, db, validators, auth, events, integrations, and utils packages.","Each package has package.json, src/index.ts, and TypeScript config.",docs/README.md
Foundation and Collaboration Setup,Configure root scripts and Turborepo pipeline,High,"type:chore,area:devops,mvp",2,Configure dev/build/lint/typecheck/format scripts and Turbo tasks.,Root scripts exist; Turborepo tasks are configured.,docs/README.md
Foundation and Collaboration Setup,Set up initial GitHub Actions CI,High,"type:chore,area:devops,mvp",2,"Add initial CI workflow for install, format, lint, typecheck, and build.",CI runs on PRs and pushes to main; Prisma checks excluded until Prisma exists.,docs/README.md
Foundation and Collaboration Setup,Configure branch protection and PR workflow,Medium,"type:chore,area:devops,mvp",1,Protect main and require CI checks before merging.,Main is protected; PRs required; CI must pass.,docs/README.md
Foundation and Collaboration Setup,Add minimum coding documentation set,High,"type:chore,area:docs,mvp",1,Add README and docs directory with minimum coding docs.,Docs exist under docs; root README links to docs index.,docs/README.md
"Database, Auth, and Multi-Tenancy",Install and configure Prisma package,High,"type:chore,area:database,mvp",2,Install Prisma and configure packages/db.,Prisma schema exists; db:validate and db:generate work.,docs/README.md
"Database, Auth, and Multi-Tenancy",Create initial Prisma schema for Pango MVP,High,"type:feature,area:database,mvp",5,"Create core data models for accounts, properties, tenants, invoices, payments, receipts, maintenance, logs.",Core models exist; money fields use integer minor units; account-scoped tables include accountId.,docs/README.md
"Database, Auth, and Multi-Tenancy",Add database seed script,Medium,"type:chore,area:database,mvp",2,Create demo seed data for local development.,"Seed creates demo landlord, property, units, tenants, invoices, partial payment, and maintenance request.",docs/README.md
"Database, Auth, and Multi-Tenancy",Implement actor context and permission helpers,High,"type:feature,area:auth,area:security,mvp",3,Implement server-side actor/account resolution and permission helpers.,Current user/account resolved server-side; client accountId not trusted; landlord/tenant/admin helpers exist.,docs/README.md
"Database, Auth, and Multi-Tenancy",Configure authentication provider,High,"type:feature,area:auth,mvp",3,Set up auth provider and account/workspace creation.,Landlord can sign up/sign in; server session available; new landlord creates account.,docs/README.md
Landlord Rent Roll,Build landlord dashboard shell,High,"type:feature,area:ui,mvp",3,Build dashboard layout and navigation.,Dashboard layout exists; nav includes core landlord sections.,docs/README.md
Landlord Rent Roll,Implement property creation flow,High,"type:feature,area:domain,area:ui,mvp",3,"Create property form, action, service, and audit log.",Landlord can create account-scoped property; audit log is written.,docs/README.md
Landlord Rent Roll,Implement unit creation flow,High,"type:feature,area:domain,area:ui,mvp",3,"Create unit form, action, service, and validations.",Landlord can create units; rent/deposit/status captured; unit names unique per property.,docs/README.md
Landlord Rent Roll,Implement tenant and tenancy creation flow,High,"type:feature,area:domain,mvp",5,Add tenant and assign to unit through active tenancy and rent schedule.,Tenant can be assigned; tenancy and schedule created; unit becomes occupied; uniqueness enforced.,docs/README.md
Landlord Rent Roll,Build rent roll table,Medium,"type:feature,area:ui,mvp",3,"Create a table of properties, units, tenants, rent, and status.",Landlord sees rent roll table with property/unit/tenant/rent/status.,docs/README.md
Invoices and Manual Payments,Implement invoice generation service,High,"type:feature,area:invoices,area:domain,mvp",5,Generate invoices for active tenancies.,Duplicate invoice for same tenancy/billing month blocked; amount copies rent schedule.,docs/README.md
Invoices and Manual Payments,Build invoice list and detail pages,High,"type:feature,area:invoices,area:ui,mvp",3,Display invoices and balances.,"Landlord sees invoices by status, tenant, property, unit, amount, due date, and balance.",docs/README.md
Invoices and Manual Payments,Implement manual payment recording service,High,"type:feature,area:payments,area:domain,mvp",5,Record manual rent payments transactionally.,Payment updates invoice paid/balance/status; duplicate M-Pesa references blocked.,docs/README.md
Invoices and Manual Payments,Build payment recording UI,High,"type:feature,area:payments,area:ui,mvp",3,Create form for manual payment recording.,"Form validates amount, method, date, reference; partial payments supported.",docs/README.md
Invoices and Manual Payments,Implement receipt generation service,High,"type:feature,area:payments,mvp",3,Generate immutable receipts for completed payments.,Receipt generated; number unique; receipt immutable.,docs/README.md
"Arrears, Notifications, and Reports",Build arrears dashboard,High,"type:feature,area:invoices,area:ui,mvp",3,Show overdue and partial invoices.,"Landlord sees tenant, unit, amount due, due date, days overdue.",docs/README.md
"Arrears, Notifications, and Reports",Implement overdue invoice job,High,"type:feature,area:invoices,area:devops,mvp",3,Daily job marks invoices overdue.,Open/partial invoices past due marked overdue; paid/cancelled ignored.,docs/README.md
"Arrears, Notifications, and Reports",Implement SMS notification abstraction,Medium,"type:feature,area:notifications,area:integrations,mvp",3,Create SMS provider interface and mock provider.,Interface and mock provider exist; NotificationLog records attempts.,docs/README.md
"Arrears, Notifications, and Reports",Implement manual rent reminder,Medium,"type:feature,area:notifications,mvp",3,Send reminder for unpaid invoice.,No reminders for paid invoices; duplicate same-day reminders blocked.,docs/README.md
"Arrears, Notifications, and Reports",Build rent collection report,Medium,"type:feature,area:reports,mvp",3,Report completed rent payments by date range/property.,Report shows completed payments filtered by date and property.,docs/README.md
"Arrears, Notifications, and Reports",Build tax-readiness report,Medium,"type:feature,area:reports,mvp",3,Report gross completed rent payments and tax-readiness disclaimer.,Report uses gross completed payments; expenses not deducted; disclaimer included.,docs/README.md
Tenant Portal and Maintenance,Implement tenant portal shell,Medium,"type:feature,area:ui,mvp",3,Create minimal tenant portal layout.,"Tenant accesses home, payments, receipts, maintenance; no landlord access.",docs/README.md
Tenant Portal and Maintenance,Implement tenant balance view,Medium,"type:feature,area:payments,area:ui,mvp",3,Show tenant unpaid invoices and payment history.,Tenant sees current unpaid invoices and payment history.,docs/README.md
Tenant Portal and Maintenance,Implement tenant receipt view,Medium,"type:feature,area:payments,mvp",2,Show tenant receipts.,Tenant can view/download issued receipts.,docs/README.md
